X,Y,Rang,Type,ID
768405.645259215,6271802.29609327,1,Site,1
768408.21731678,6271806.5838106,1,Site,2
768410.789374345,6271810.87152793,1,Site,3
768413.36143191,6271815.15924526,1,Site,4
768415.933489474,6271819.44696258,1,Site,5
768418.505547039,6271823.73467991,1,Site,6
768421.077604604,6271828.02239724,1,Site,7
768423.649662168,6271832.31011457,1,Site,8
768426.221719733,6271836.59783189,1,Site,9
768428.793777298,6271840.88554922,1,Site,10
768431.365834862,6271845.17326655,1,Site,11
768433.937892427,6271849.46098388,1,Site,12
768436.509949992,6271853.74870121,1,Site,13
768439.082007556,6271858.03641853,1,Site,14
768441.654065121,6271862.32413586,1,Site,15
768444.226122686,6271866.61185319,1,Site,16
768446.79818025,6271870.89957052,1,Site,17
768449.370237815,6271875.18728785,1,Site,18
768407.541871993,6271801.05485736,2,Site,19
768410.126926874,6271805.3347512,2,Site,20
768412.711981754,6271809.61464504,2,Site,21
768415.297036635,6271813.89453888,2,Site,22
768417.882091515,6271818.17443271,2,Site,23
768420.467146396,6271822.45432655,2,Site,24
768423.052201276,6271826.73422039,2,Site,25
768425.637256157,6271831.01411423,2,Site,26
768428.222311038,6271835.29400807,2,Site,27
768430.807365918,6271839.5739019,2,Site,28
768433.392420799,6271843.85379574,2,Site,29
768435.977475679,6271848.13368958,2,Site,30
768438.56253056,6271852.41358342,2,Site,31
768441.14758544,6271856.69347726,2,Site,32
768443.732640321,6271860.97337109,2,Site,33
768446.317695202,6271865.25326493,2,Site,34
768448.902750082,6271869.53315877,2,Site,35
768451.487804963,6271873.81305261,2,Site,36
768405.645259215,6271802.29609327,2,Site,37
768408.21731678,6271806.5838106,2,Site,38
768410.789374345,6271810.87152793,2,Site,39
768413.36143191,6271815.15924526,2,Site,40
768415.933489474,6271819.44696258,2,Site,41
768418.505547039,6271823.73467991,2,Site,42
768421.077604604,6271828.02239724,2,Site,43
768423.649662168,6271832.31011457,2,Site,44
768426.221719733,6271836.59783189,2,Site,45
768428.793777298,6271840.88554922,2,Site,46
768431.365834862,6271845.17326655,2,Site,47
768433.937892427,6271849.46098388,2,Site,48
768436.509949992,6271853.74870121,2,Site,49
768439.082007556,6271858.03641853,2,Site,50
768441.654065121,6271862.32413586,2,Site,51
768444.226122686,6271866.61185319,2,Site,52
768446.79818025,6271870.89957052,2,Site,53
768449.370237815,6271875.18728785,2,Site,54
768409.823938915,6271799.76873838,3,Site,55
768412.406115183,6271804.05036957,3,Site,56
768414.98829145,6271808.33200077,3,Site,57
768417.570467718,6271812.61363197,3,Site,58
768420.152643985,6271816.89526317,3,Site,59
768422.734820253,6271821.17689437,3,Site,60
768425.31699652,6271825.45852557,3,Site,61
768427.899172788,6271829.74015677,3,Site,62
768430.481349055,6271834.02178797,3,Site,63
768433.063525323,6271838.30341917,3,Site,64
768435.64570159,6271842.58505036,3,Site,65
768438.227877858,6271846.86668156,3,Site,66
768440.810054125,6271851.14831276,3,Site,67
768443.392230393,6271855.42994396,3,Site,68
768445.97440666,6271859.71157516,3,Site,69
768448.556582928,6271863.99320636,3,Site,70
768451.138759195,6271868.27483756,3,Site,71
768453.720935463,6271872.55646876,3,Site,72
768407.541871993,6271801.05485736,3,Site,73
768410.126926874,6271805.3347512,3,Site,74
768412.711981754,6271809.61464504,3,Site,75
768415.297036635,6271813.89453888,3,Site,76
768417.882091515,6271818.17443271,3,Site,77
768420.467146396,6271822.45432655,3,Site,78
768423.052201276,6271826.73422039,3,Site,79
768425.637256157,6271831.01411423,3,Site,80
768428.222311038,6271835.29400807,3,Site,81
768430.807365918,6271839.5739019,3,Site,82
768433.392420799,6271843.85379574,3,Site,83
768435.977475679,6271848.13368958,3,Site,84
768438.56253056,6271852.41358342,3,Site,85
768441.14758544,6271856.69347726,3,Site,86
768443.732640321,6271860.97337109,3,Site,87
768446.317695202,6271865.25326493,3,Site,88
768448.902750082,6271869.53315877,3,Site,89
768451.487804963,6271873.81305261,3,Site,90
768412.044425498,6271798.70727975,4,Site,91
768414.634143367,6271802.98435368,4,Site,92
768417.223861235,6271807.2614276,4,Site,93
768419.813579104,6271811.53850153,4,Site,94
768422.403296972,6271815.81557546,4,Site,95
768424.993014841,6271820.09264938,4,Site,96
768427.582732709,6271824.36972331,4,Site,97
768430.172450578,6271828.64679723,4,Site,98
768432.762168446,6271832.92387116,4,Site,99
768435.351886315,6271837.20094508,4,Site,100
768437.941604183,6271841.47801901,4,Site,101
768440.531322051,6271845.75509293,4,Site,102
768443.12103992,6271850.03216686,4,Site,103
768445.710757788,6271854.30924078,4,Site,104
