X,Y,Rang,Type,ID
767996.152940463,6272400.12925074,1,Site,1
768004.38296565,6272396.10974007,1,Site,2
768012.613001261,6272392.09023991,1,Site,3
768064.744213326,6272366.43751283,1,Site,4
768081.172786113,6272358.27512987,1,Site,5
768089.387088347,6272354.19395408,1,Site,6
768097.601401139,6272350.11278875,1,Site,7
768105.815724491,6272346.03163388,1,Site,8
768114.030058403,6272341.95048948,1,Site,9
767918.787552379,6272441.19878116,2,Site,10
767927.004679544,6272437.12916265,2,Site,11
767935.221817243,6272433.05955462,2,Site,12
767943.438965476,6272428.98995705,2,Site,13
767951.656124243,6272424.92036995,2,Site,14
767959.873293543,6272420.85079332,2,Site,15
767968.090473378,6272416.78122716,2,Site,16
767976.307663746,6272412.71167146,2,Site,17
767984.524864648,6272408.64212624,2,Site,18
767992.742076084,6272404.57259148,2,Site,19
768000.959298053,6272400.50306719,2,Site,20
768009.176530556,6272396.43355337,2,Site,21
768017.393773593,6272392.36405001,2,Site,22
768032.930092742,6272384.55948811,2,Site,23
768041.154624202,6272380.51829476,2,Site,24
768049.379166133,6272376.47711188,2,Site,25
768057.603718534,6272372.4359395,2,Site,26
768065.828281407,6272368.39477761,2,Site,27
768074.05285475,6272364.35362621,2,Site,28
768082.277438565,6272360.31248529,2,Site,29
768090.50203285,6272356.27135487,2,Site,30
768098.726637607,6272352.23023493,2,Site,31
768106.951252834,6272348.18912548,2,Site,32
768115.175878532,6272344.14802652,2,Site,33
767996.152940463,6272400.12925074,2,Site,34
768004.38296565,6272396.10974007,2,Site,35
768012.613001261,6272392.09023991,2,Site,36
768064.744213326,6272366.43751283,2,Site,37
768081.172786113,6272358.27512987,2,Site,38
768089.387088347,6272354.19395408,2,Site,39
768097.601401139,6272350.11278875,2,Site,40
768105.815724491,6272346.03163388,2,Site,41
768114.030058403,6272341.95048948,2,Site,42
767924.638186321,6272441.32167105,3,Site,43
767932.84898555,6272437.22757455,3,Site,44
767941.059795366,6272433.13348849,3,Site,45
767949.270615771,6272429.03941289,3,Site,46
767957.481446763,6272424.94534773,3,Site,47
767965.692288343,6272420.85129303,3,Site,48
767973.903140511,6272416.75724878,3,Site,49
767982.114003267,6272412.66321498,3,Site,50
767990.324876611,6272408.56919163,3,Site,51
767998.535760543,6272404.47517873,3,Site,52
768006.746655062,6272400.38117628,3,Site,53
768014.957560169,6272396.28718428,3,Site,54
768026.081137973,6272391.05979876,3,Site,55
768034.303985291,6272387.01206399,3,Site,56
768042.526843094,6272382.9643397,3,Site,57
768050.749711382,6272378.9166259,3,Site,58
768058.972590156,6272374.86892258,3,Site,59
768067.195479415,6272370.82122975,3,Site,60
768075.41837916,6272366.7735474,3,Site,61
768083.64128939,6272362.72587554,3,Site,62
768091.864210105,6272358.67821416,3,Site,63
768100.087141306,6272354.63056326,3,Site,64
768108.310082992,6272350.58292285,3,Site,65
768116.533035164,6272346.53529292,3,Site,66
767918.787552379,6272441.19878116,3,Site,67
767927.004679544,6272437.12916265,3,Site,68
767935.221817243,6272433.05955462,3,Site,69
767943.438965476,6272428.98995705,3,Site,70
767951.656124243,6272424.92036995,3,Site,71
767959.873293543,6272420.85079332,3,Site,72
767968.090473378,6272416.78122716,3,Site,73
767976.307663746,6272412.71167146,3,Site,74
767984.524864648,6272408.64212624,3,Site,75
767992.742076084,6272404.57259148,3,Site,76
768000.959298053,6272400.50306719,3,Site,77
768009.176530556,6272396.43355337,3,Site,78
768017.393773593,6272392.36405001,3,Site,79
768032.930092742,6272384.55948811,3,Site,80
768041.154624202,6272380.51829476,3,Site,81
768049.379166133,6272376.47711188,3,Site,82
768057.603718534,6272372.4359395,3,Site,83
768065.828281407,6272368.39477761,3,Site,84
768074.05285475,6272364.35362621,3,Site,85
768082.277438565,6272360.31248529,3,Site,86
768090.50203285,6272356.27135487,3,Site,87
768098.726637607,6272352.23023493,3,Site,88
768106.951252834,6272348.18912548,3,Site,89
768115.175878532,6272344.14802652,3,Site,90
